Name,Phone,E-mail,Address,Star Rating,Reviews,Business Activities,PostCode,URL
Piping Hot,01727 830 866,pipinghot.mb@googlemail.com,"22 Walton Street, St. Albans, AL1 4DQ",,,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3033&aphcScheme=Licensed%20Scheme
M&M Gas Services Ltd,07912018460,Shaun@mmgas.co.uk,"Unit 15A, The Hertfordshire Business Centre, Alexander Road, London Colney, AL2 1JG",,,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17036&aphcScheme=Licensed%20Scheme
Heatpumps Hub Ltd,07960964288,manny@heatpumpshub.co.uk,"34a Watling Street, Radlett, WD7 7NN",4.6000,"3,797 ",,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17065&aphcScheme=Licensed%20Scheme
Whisbro Mechanical Solutions Ltd,077250 72735,craig@whisbro.com,"SUITE 1 LEAVESDEN PARK, HERCULES WAY, WD25 7GS",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17063&aphcScheme=Licensed%20Scheme
Oaklands College,,,"St Albans Campus (Smallwood), Hatfield Road, St Albans, Hertfordshire",3.9000,162 ,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3696&aphcScheme=Licensed%20Scheme
Peacock Plumbing and Heating Services Ltd,07939 864393,info@peacockphs.co.uk,"Suite 32, CP House, Otterspool Way, Watford, WD25 8HR",5,10 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17304&aphcScheme=Licensed%20Scheme
Carbon Rewind Ltd,01923 801 801,marc.keenan@carbonrewind.com,"Building 2, Axis Building, Rhodes Way, Watford, Hertfordshire, WD24 4YW",4.4000,206 ,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=16928&aphcScheme=Licensed%20Scheme
HJ Heating Services Ltd,0203 327 0322,info@hjheating.co.uk,"2C Shakespeare Industrial Estate, Shakespeare Street, Watford, WD24 5RR",3,2 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2733&aphcScheme=Licensed%20Scheme
Hall & Randall Plumbers,0208 953 2094,office@hallandrandall.com,"132 Manor Way, Borehamwood, WD6 1QX",4.3000,79 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3036&aphcScheme=Licensed%20Scheme
Mylo Energy Ltd,07960 877166,manoj@myloenergy.co.uk,"Unit 2C Shakespeare Industrial Estate, Shakespeare Street, Watford, WD24 5RR",,,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17321&aphcScheme=Licensed%20Scheme
