Title,Article Id,Date,Category,Has Audio,Summary,URL
Arkells strip down their sound on 'Laundry Pile',1213183193,"November 16, 2023",Podcasts & Shows,True,Arkells,https://www.npr.org/2023/11/15/1213183193/arkells-album-laundry-pile
'Super Mario Bros. Wonder' makers explain new gameplay — and the elephant in the room,1196990890,"August 31, 2023",Culture,True,"Same old villainy, new look for Bowser in Super Mario Bros. Wonder.",https://www.npr.org/2023/08/31/1196990890/super-mario-bros-wonder-nintendo-prevew-interview
Questions still swirl around Al Ahli Arab Hospital blast in Gaza. Here's what we know,1208211857,"October 24, 2023",News,False,"A blast ripped through Al Ahli Arab hospital in war-torn Gaza late on Oct. 17, killing hundreds. This aerial view, taken a day later, shows the aftermath.",https://www.npr.org/sections/goatsandsoda/2023/10/24/1208211857/questions-still-swirl-around-al-ahli-arab-hospital-blast-in-gaza-heres-what-we-k
What Happens When Two Enemies Fall In Love?,555619978,"May 27, 2018",News,False,"Alexis Clark, author of",https://www.npr.org/sections/codeswitch/2018/05/27/555619978/what-happens-when-two-enemies-fall-in-love
Onetime supporter of Guantánamo's military court now says it was 'doomed',1167339647,"April 3, 2023",News,True,"Former Solicitor General Ted Olson (second from left) sits with Bush administration lawyers during the Senate Judiciary Committee's hearing on Guantánamo detainees on July 11, 2006, on Capitol Hill in Washington, D.C.",https://www.npr.org/2023/04/03/1167339647/ted-olson-guantanamo-sept-11-plea
What POW/MIA Means To A New Generation Of Veterans,566213198,"November 23, 2017",News,True,The POW/MIA movement that began during the Vietnam War changed the way the U.S. sees its responsibility for missing service members. A new generation of veterans sees the flag differently than before.,https://www.npr.org/2017/11/23/566213198/what-pow-mia-means-to-a-new-generation-of-veterans
The Sentencing Of A Monster,566380714,"November 25, 2017",News,True,Former Bosnian military chief Ratko Mladic appears for the pronouncement of the tribunal's judgment at The Hague on Wednesday.,https://www.npr.org/2017/11/25/566380714/the-sentencing-of-a-monster
The Number Of Homeless Veterans Rises,568755985,"December 6, 2017",News,True,HUD has released its latest homeless count and the number of homeless veterans is slightly up from last year. This is despite a years-long effort to bring that number to zero.,https://www.npr.org/2017/12/06/568755985/the-number-of-homeless-veterans-rises
"On Veterans Day, here are stories that honor heroes and homecoming",1136039726,"November 11, 2022",News,False,"The Veterans Day Parade on Nov. 11, 2019 in New York City.",https://www.npr.org/2022/11/11/1136039726/veterans-day-war-books-fiction-nonfiction
The Tax Bill And The Military,569815366,"December 11, 2017",News,True,President Trump has promised to increase military spending. Rachel Martin talks to retired Army Col. Peter Mansoor about whether that spending is possible under the Republican tax plan.,https://www.npr.org/2017/12/11/569815366/the-tax-bill-and-the-military
Names Written In Blood And Rust: Documenting Syria's Disappeared,568183086,"December 7, 2017",News,True,"Pieces of cloth that Mansour Omari and other inmates at a notorious Syrian prison used to document the names of the ""disappeared"" held with them. They made ink out of blood from their bleeding gums and rust from the prison bars.",https://www.npr.org/sections/parallels/2017/12/07/568183086/please-dont-forget-us-documenting-syrias-disappeared
Trump Executive Order Aims To Expand Veteran Mental Health Care,576976684,"January 10, 2018",News,True,The Trump administration is moving to enroll all new veterans in Department of Veterans Affairs mental health services. This greatly expands the numbers of veterans enrolled with the VA.,https://www.npr.org/2018/01/10/576976684/trump-executive-order-aims-to-expand-veteran-mental-health-care
Turkish Forces Seize Syrian City Of Afrin,594690169,"March 18, 2018",News,False,"Turkey-backed Free Syrian Army soldiers celebrate around a statue of Kawa, a mythology figure in Kurdish culture as they prepare to destroy it in city center of Afrin, northwestern Syria, early Sunday.",https://www.npr.org/sections/thetwo-way/2018/03/18/594690169/turkish-forces-seize-syrian-city-of-afrin
Army 'Leans In' To Protect A Shooter's Brain From Blast Injury,611700850,"May 17, 2018",News,True,"Marines based in Okinawa, Japan, fire an M136 AT-4 rocket launcher as part of a weapons training exercise on the Kaneohe Bay Range Training Facility, in 2014.",https://www.npr.org/sections/health-shots/2018/05/17/611700850/army-takes-steps-to-protect-a-shooters-brain-from-blast-injury
'Bring The War Home' Shows 'Lone Wolf' Terrorists Are Really Part Of A Pack,604319422,"April 22, 2018",News,True,Your purchase helps support NPR programming.,https://www.npr.org/2018/04/22/604319422/bring-the-war-home-shows-lone-wolf-terrorists-are-really-part-of-a-pack
Report To Army Finds Blast From Some Weapons May Put Shooter's Brain At Risk,606142634,"April 30, 2018",News,True,"U.S. Marines fire the Carl Gustav rocket system during live-fire training last October. With each firing, the shooter's brain is exposed to pulses of high pressure air emanating from the explosion that travel faster than the speed of sound.",https://www.npr.org/sections/health-shots/2018/04/30/606142634/report-to-army-cites-concussion-risk-of-weapons-blast-to-the-shooter
VA's Caregiver Program Still Dropping Veterans With Disabilities,611733148,"May 21, 2018",News,True,"George Wilmot gets lost easily, forgets things — like a pot on the stove — and sometimes falls down without warning. His wife, Jenn, hasn't been able to work outside the home because taking care of George is a full-time job.",https://www.npr.org/2018/05/21/611733148/vas-caregiver-program-still-dropping-veterans-with-disabilities
'With Honor' Group Works To Elect Veterans,614810120,"May 27, 2018",News,True,"NPR's Lulu Garcia-Navarro talks to Rye Barcott, the co-founder and CEO of With Honor. The group supports military veterans running for Congress.",https://www.npr.org/2018/05/27/614810120/with-honor-group-works-to-elect-veterans
